,place,medium,large,control,zhvi_2312,treatment,pop_19,pop_growth,under_eighteen_2022,white_2022,black_2022,hisp_2022,race_other_2022,median_income_2022,pct_renter_2022,bach_edu_2022,one_unit_bldgs,one_unit_units,two_unit_bldgs,two_unit_units,three_unit_bldgs,three_unit_units,five_unit_bldgs,five_unit_units,one_unit_bldgs_21,two_unit_bldgs_21,three_unit_bldgs_21,five_unit_bldgs_21,one_unit_bldgs_20,two_unit_bldgs_20,three_unit_bldgs_20,five_unit_bldgs_20,large21
10,Redmond,0,1,0,496425.69888415793,Large,30600,1.8536172015676307,22.8,82.3,0.1,13.4,4.200000000000001,82526.0,35.76199616122841,24.8,9.869281045751633,9.869281045751633,0.19607843137254902,0.39215686274509803,0.0,0.0,0.19607843137254902,3.1372549019607843,14.967320261437909,0.5882352941176471,0.19607843137254902,0.45751633986928103,18.00653594771242,0.032679738562091505,0.13071895424836602,0.32679738562091504,0
11,McMinnville,0,1,0,461078.52755312057,Large,33930,0.5824372759856631,22.2,72.1,0.4,18.5,9.000000000000007,85955.0,38.45736013036393,26.7,3.919834954317713,3.919834954317713,0.0,0.0,0.0,0.0,0.0,0.0,4.21455938697318,0.0,0.0,0.0,4.12614205717654,0.29472443265546716,0.0,0.0,0
12,Keizer,0,1,0,429369.3238437486,Large,38580,0.6107009388387568,24.9,67.6,0.8,24.3,7.300000000000004,89069.0,36.76460176991151,25.8,0.4924831518921721,0.4924831518921721,0.38880248833592534,0.7776049766718507,0.05184033177812338,0.18144116122343185,0.18144116122343185,1.944012441679627,0.6480041472265423,0.07776049766718507,0.0,0.07776049766718507,0.673924313115604,0.0,0.0,0.07776049766718507,0
13,Happy Valley,0,1,0,673860.8418582388,Large,21700,5.98896769109535,27.5,65.0,0.9,6.1,28.0,139850.0,16.642120765832107,48.6,9.493087557603687,9.493087557603687,0.0,0.0,0.0,0.0,0.0,0.0,17.557603686635947,0.0,0.0,0.0,20.414746543778804,0.0,0.0,0.1382488479262673,0
14,Woodburn,0,1,0,402967.705514706,Large,25135,0.48439554356099923,26.1,34.2,0.5,61.2,4.099999999999994,71098.0,33.92917750876796,15.1,3.1828128108215634,3.1828128108215634,0.0,0.0,0.0,0.0,1.1537696439228167,15.158146011537696,10.383926795305351,0.0,0.0,0.6763477222995822,3.6602347324447977,0.0,0.0,0.0,0
15,Lebanon,1,0,0,373055.03547915054,Medium,17135,1.1522633744855968,21.4,84.3,0.1,9.6,6.0000000000000036,61770.0,47.34513274336283,20.2,2.042602859644003,2.042602859644003,0.9921213889699445,1.984242777939889,0.05836008170411438,0.17508024511234313,0.11672016340822876,1.1672016340822875,3.1514444120221765,0.35016049022468626,0.0,0.7003209804493725,1.8091625328275458,0.758681062153487,0.17508024511234313,0.9337613072658301,0
16,Hermiston,1,0,0,326133.67175284843,Medium,18415,1.0717475439118784,29.7,41.5,1.3,52.2,5.0,76327.0,38.772706457029464,16.5,3.746945424925333,3.746945424925333,0.21721422753190334,0.4344284550638067,0.0,0.0,0.0,0.0,6.13630192777627,0.0,0.0,0.0,4.778713005701873,0.0,0.0,0.0,0
17,West Linn,0,1,0,742458.7656067718,Large,25905,0.3335542301745085,25.0,81.1,0.8,7.9,10.200000000000005,159344.0,16.636690647482013,63.1,0.6176413819725921,0.6176413819725921,0.0,0.0,0.0,0.0,0.0,0.0,1.4282956958116193,0.0,0.0,0.0,0.8492569002123141,0.0,0.0,0.0,0
18,Newberg,1,0,0,510833.36639149423,Medium,24045,0.9724106739032112,22.6,73.5,0.8,16.4,9.3,104399.0,36.60152008686211,38.2,4.158868787689748,4.158868787689748,0.0,0.0,0.0,0.0,0.041588687876897484,0.24953212726138488,4.782699105843211,0.5822416302765647,0.0,0.08317737575379497,2.4121438968600537,0.041588687876897484,0.0,0.0,0
19,Central Point,1,0,0,393019.5414495692,Medium,18365,0.7629392558109462,21.3,77.6,0.5,14.7,7.200000000000006,90482.0,31.228876571583076,22.3,0.6534168254832563,0.6534168254832563,0.0,0.0,0.0,0.0,0.16335420637081408,3.648243942281514,3.267084127416281,0.0,0.0,0.27225701061802343,2.6681187040566297,0.0,0.0,0.27225701061802343,0
