,date,place,one_unit_bldgs,one_unit_units,one_unit_value,two_unit_bldgs,two_unit_units,two_unit_value,three_unit_bldgs,three_unit_units,three_unit_value,five_unit_bldgs,five_unit_units,five_unit_value,medium,large,large21,control,pop_19,treatment,one_unit_bldgs_21,two_unit_bldgs_21,three_unit_bldgs_21,five_unit_bldgs_21,one_unit_bldgs_20,two_unit_bldgs_20,three_unit_bldgs_20,five_unit_bldgs_20,pop_growth,under_eighteen_2022,white_2022,black_2022,hisp_2022,race_other_2022,median_income_2022,pct_renter_2022,bach_edu_2022
59,2023-01-01,Oregon City,2.2771998875456845,2.2771998875456845,21112529,0.0,0.0,0,0.028113578858588697,0.11245431543435479,522547,0.11245431543435479,6.438009558616812,37869000,0,1,0,0,35570,Large,1.4337925217880236,0.0,0.0843407365757661,0.0,2.417767781838628,0.0,0.0,0.0,1.2415134309180254,21.9,87.7,0.6,4.9,6.799999999999997,106291.0,34.71960585422403,30.2
60,2023-01-01,Pendleton,1.1163337250293772,1.1163337250293772,5876520,0.05875440658049354,0.11750881316098707,470185,0.0,0.0,0,0.0,0.0,0,1,0,0,0,17020,Medium,2.1739130434782608,0.05875440658049354,0.0,0.4112808460634548,1.2338425381903644,0.17626321974148063,0.0,0.17626321974148063,0.277694134966041,24.1,78.6,1.3,11.9,8.200000000000005,83052.0,45.47899159663866,22.6
61,2023-01-01,Philomath,4.693877551020408,4.693877551020408,7511518,0.2040816326530612,0.4081632653061224,396993,0.0,0.0,0,0.0,0.0,0,0,0,0,1,4900,Control,6.326530612244897,0.0,0.2040816326530612,0.0,21.020408163265305,0.0,0.2040816326530612,0.0,0.7504236262406198,18.1,88.5,0.0,3.7,7.8,89730.0,32.53863134657836,43.6
62,2023-01-01,Phoenix,9.677419354838708,9.677419354838708,7116750,0.0,0.0,0,0.8602150537634408,2.5806451612903225,768000,1.9354838709677418,9.677419354838708,5083866,0,0,0,1,4650,Control,3.6559139784946235,0.0,0.0,0.0,4.946236559139785,0.0,0.0,0.0,0.2692119432207538,11.1,79.4,0.9,10.4,9.299999999999995,60291.0,33.10526315789474,27.1
63,2023-01-01,Redmond,9.869281045751633,9.869281045751633,92294201,0.19607843137254902,0.39215686274509803,3584929,0.0,0.0,0,0.19607843137254902,3.1372549019607843,20757570,0,1,0,0,30600,Large,14.967320261437909,0.5882352941176471,0.19607843137254902,0.45751633986928103,18.00653594771242,0.032679738562091505,0.13071895424836602,0.32679738562091504,1.8536172015676307,22.8,82.3,0.1,13.4,4.200000000000001,82526.0,35.76199616122841,24.8
64,2023-01-01,Reedsport,1.4234875444839858,1.4234875444839858,683094,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,4215,Control,1.1862396204033214,0.0,0.0,0.0,0.7117437722419929,0.0,0.0,0.0,0.17402945113788487,19.6,92.1,0.1,2.8,5.000000000000006,60156.0,33.90535621424857,10.7
65,2023-01-01,Rogue River,3.131991051454139,3.131991051454139,1873788,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,2235,Control,2.684563758389262,0.0,0.0,0.0,0.894854586129754,0.0,0.0,0.0,0.5204267499349466,17.3,84.4,0.0,6.0,9.599999999999994,65284.0,43.0722891566265,16.7
66,2023-01-01,Sandy,1.6252821670428894,1.6252821670428894,7356956,0.4514672686230249,0.9029345372460498,2718452,0.0,0.0,0,0.0,0.0,0,1,0,0,0,11075,Medium,5.327313769751694,0.09029345372460497,0.0,0.5417607223476298,7.313769751693003,0.18058690744920994,0.0,0.0,1.6341561654870822,23.3,84.5,0.1,6.2,9.2,107654.0,23.34169136083884,21.8
67,2023-01-01,Scappoose,1.237964236588721,1.237964236588721,2927245,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,7270,Control,0.4126547455295736,0.27510316368638243,0.0,0.27510316368638243,2.2008253094910595,0.0,0.27510316368638243,0.0,1.0725657784481313,24.8,87.0,0.1,6.6,6.300000000000001,106184.0,21.845318860244234,22.7
68,2023-01-01,Seaside,2.126044039483675,2.126044039483675,5554468,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,1,6585,Control,5.770690964312832,0.0,0.0,0.0,4.25208807896735,0.0,0.30372057706909644,0.0,0.2149982800137599,14.1,87.7,2.6,8.2,1.4999999999999982,77634.0,54.25,25.1
