,date,place,one_unit_bldgs,one_unit_units,one_unit_value,two_unit_bldgs,two_unit_units,two_unit_value,three_unit_bldgs,three_unit_units,three_unit_value,five_unit_bldgs,five_unit_units,five_unit_value,medium,large,large21,control,pop_19,treatment,period
117,2018-01-01,Estacada,112,112,20301486,0,0,0,0,0,0,0,0,0,0,0,0,1,3725,Control,-3
118,2018-01-01,Florence,42,42,9059516,0,0,0,0,0,0,0,0,0,0,0,0,1,8850,Control,-3
119,2018-01-01,Forest Grove,167,167,48522059,3,6,892943,0,0,0,7,78,6320618,0,1,0,0,25180,Large,-3
120,2018-01-01,Gearhart,40,40,9414814,0,0,0,0,0,0,0,0,0,0,0,0,1,1525,Control,-3
121,2018-01-01,Happy Valley,163,163,54677819,0,0,0,0,0,0,0,0,0,0,1,0,0,21700,Large,-3
122,2018-01-01,Harrisburg,6,6,921095,0,0,0,0,0,0,0,0,0,0,0,0,1,3680,Control,-3
123,2018-01-01,Hermiston,82,82,15736403,0,0,0,0,0,0,0,0,0,1,0,0,0,18415,Medium,-3
124,2018-01-01,Hood River,47,47,12646083,10,20,2569954,0,0,0,1,6,850000,0,0,0,1,8305,Control,-3
125,2018-01-01,Independence,50,50,10456416,4,8,1480290,1,4,236586,0,0,0,0,0,0,1,9530,Control,-3
126,2018-01-01,Irrigon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2030,Control,-3
127,2018-01-01,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3015,Control,-3
128,2018-01-01,Junction City,22,22,5306000,1,2,307000,1,4,490000,0,0,0,0,0,0,1,6170,Control,-3
129,2018-01-01,Keizer,21,21,5473628,2,4,897303,0,0,0,1,17,1302845,0,1,0,0,38580,Large,-3
130,2018-01-01,King City,17,17,3492434,0,0,0,0,0,0,0,0,0,0,1,1,0,4190,Large,-3
131,2018-01-01,La Grande,16,16,3943092,1,2,396877,2,7,631803,0,0,0,1,0,0,0,13290,Medium,-3
132,2018-01-01,Lafayette,9,9,1740813,0,0,0,0,0,0,0,0,0,0,0,0,1,4125,Control,-3
133,2018-01-01,Lake Oswego,112,112,58675290,0,0,0,0,0,0,11,110,15995870,0,1,0,0,39115,Large,-3
134,2018-01-01,Lakeside,6,6,663304,0,0,0,0,0,0,0,0,0,0,0,0,1,1750,Control,-3
135,2018-01-01,Lebanon,39,39,7661117,0,0,0,0,0,0,5,25,2093415,1,0,0,0,17135,Medium,-3
136,2018-01-01,Lincoln City,55,55,13606409,2,4,675285,0,0,0,3,30,2479387,0,0,0,1,8795,Control,-3
137,2018-01-01,Lowell,10,10,730281,3,6,581128,0,0,0,0,0,0,0,0,0,1,1090,Control,-3
138,2018-01-01,Lyons,6,6,1292788,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,Control,-3
139,2018-01-01,McMinnville,94,94,25577763,1,2,360772,3,10,1269424,10,98,10499196,0,1,0,0,33930,Large,-3
140,2018-01-01,Medford,316,316,74755921,1,2,382956,0,0,0,14,132,15367148,0,1,0,0,81465,Large,-3
141,2018-01-01,Mill City,6,6,1385093,0,0,0,0,0,0,0,0,0,0,0,0,1,1880,Control,-3
142,2018-01-01,Millersburg,120,120,33390094,0,0,0,0,0,0,0,0,0,0,0,0,1,2615,Control,-3
143,2018-01-01,Milwaukie,20,20,5941099,0,0,0,1,3,587010,0,0,0,0,1,0,0,20535,Large,-3
144,2018-01-01,Monmouth,20,20,5722105,10,20,3381250,3,10,1323750,0,0,0,0,0,0,1,9920,Control,-3
145,2018-01-01,Newberg,106,106,25008400,0,0,0,0,0,0,0,0,0,1,0,0,0,24045,Medium,-3
146,2018-01-01,Newport,20,20,2873586,0,0,0,8,31,2896342,0,0,0,1,0,0,0,10285,Medium,-3
147,2018-01-01,North Bend,17,17,4344215,0,0,0,0,0,0,2,11,1617000,0,0,0,1,9925,Control,-3
148,2018-01-01,Oakridge,7,7,797941,0,0,0,0,0,0,0,0,0,0,0,0,1,3305,Control,-3
149,2018-01-01,Ontario,2,2,334600,0,0,0,0,0,0,0,0,0,1,0,0,0,11485,Medium,-3
150,2018-01-01,Oregon City,100,100,33093662,0,0,0,0,0,0,2,46,6130026,0,1,0,0,35570,Large,-3
151,2018-01-01,Pendleton,27,27,6445811,0,0,0,0,0,0,0,0,0,1,0,0,0,17020,Medium,-3
152,2018-01-01,Philomath,11,11,2706545,1,2,308303,1,3,540753,30,342,35078563,0,0,0,1,4900,Control,-3
153,2018-01-01,Phoenix,21,21,2970812,0,0,0,0,0,0,0,0,0,0,0,0,1,4650,Control,-3
154,2018-01-01,Redmond,422,422,98305287,3,6,1206199,0,0,0,4,84,8387667,0,1,0,0,30600,Large,-3
155,2018-01-01,Reedsport,2,2,295527,0,0,0,0,0,0,0,0,0,0,0,0,1,4215,Control,-3
156,2018-01-01,Rogue River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2235,Control,-3
157,2018-01-01,Sandy,42,42,10601874,1,2,240000,1,3,360000,0,0,0,1,0,0,0,11075,Medium,-3
158,2018-01-01,Scappoose,16,16,4175963,0,0,0,2,8,690231,4,32,2760927,0,0,0,1,7270,Control,-3
159,2018-01-01,Seaside,12,12,3074033,0,0,0,0,0,0,0,0,0,0,0,0,1,6585,Control,-3
160,2018-01-01,Sherwood,37,37,12957520,1,2,282332,1,4,715009,0,0,0,0,1,0,0,19595,Large,-3
161,2018-01-01,Siletz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1235,Control,-3
162,2018-01-01,Silverton,22,22,6013544,0,0,0,0,0,0,0,0,0,1,0,0,0,10380,Medium,-3
163,2018-01-01,Springfield,51,51,12613161,8,16,2609812,1,4,598622,7,76,6633828,0,1,0,0,61355,Large,-3
164,2018-01-01,St. Helens,11,11,2368087,0,0,0,0,0,0,1,16,1360474,1,0,0,0,13410,Medium,-3
165,2018-01-01,Stayton,27,27,7675526,0,0,0,1,4,608885,0,0,0,0,0,0,1,7870,Control,-3
166,2018-01-01,Sweet Home,28,28,1953168,0,0,0,0,0,0,0,0,0,0,0,0,1,9340,Control,-3
167,2018-01-01,Talent,22,22,3935208,0,0,0,0,0,0,1,6,896948,0,0,0,1,6465,Control,-3
168,2018-01-01,Tangent,1,1,367531,0,0,0,0,0,0,0,0,0,0,0,0,1,1260,Control,-3
169,2018-01-01,Tigard,191,191,63577617,0,0,0,0,0,0,9,177,21459455,0,1,0,0,53450,Large,-3
170,2018-01-01,Toledo,1,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,1,3490,Control,-3
171,2018-01-01,Troutdale,9,9,2953515,0,0,0,0,0,0,0,0,0,0,1,0,0,16185,Large,-3
172,2018-01-01,Tualatin,99,99,31330240,0,0,0,0,0,0,0,0,0,0,1,1,0,27135,Large,-3
173,2018-01-01,Umatilla,55,55,9930397,0,0,0,0,0,0,0,0,0,0,0,0,1,7470,Control,-3
174,2018-01-01,Veneta,9,9,2220390,0,0,0,0,0,0,0,0,0,0,0,0,1,4800,Control,-3
175,2018-01-01,Vernonia,10,10,2500000,0,0,0,0,0,0,0,0,0,0,0,0,1,2095,Control,-3
176,2018-01-01,Waldport,4,4,689829,0,0,0,0,0,0,0,0,0,0,0,0,1,2110,Control,-3
177,2018-01-01,Warrenton,6,6,1267415,4,8,960296,0,0,0,0,0,0,0,0,0,1,5320,Control,-3
178,2018-01-01,West Linn,31,31,12935311,0,0,0,0,0,0,0,0,0,0,1,0,0,25905,Large,-3
179,2018-01-01,Wilsonville,118,118,26770419,0,0,0,0,0,0,3,56,10696860,0,1,1,0,25635,Large,-3
180,2018-01-01,Wood Village,46,46,12203484,0,0,0,0,0,0,0,0,0,0,1,0,0,4060,Large,-3
181,2018-01-01,Woodburn,51,51,12355106,0,0,0,0,0,0,8,61,12338049,0,1,0,0,25135,Large,-3
182,2019-01-01,Albany,220,220,50869374,0,0,0,0,0,0,18,210,20200619,0,1,1,0,54120,Large,-2
183,2019-01-01,Ashland,44,44,8046953,4,8,906431,2,7,1062328,2,43,4263627,1,0,0,0,20960,Medium,-2
184,2019-01-01,Astoria,7,7,2387857,1,2,143600,0,0,0,0,0,0,0,0,0,1,9690,Control,-2
185,2019-01-01,Baker City,23,23,5335512,0,0,0,0,0,0,0,0,0,0,0,0,1,9965,Control,-2
186,2019-01-01,Beaverton,176,176,55693868,0,0,0,0,0,0,2,216,22958638,0,1,0,0,98255,Large,-2
187,2019-01-01,Bend,642,642,134644476,33,66,8472775,0,0,0,2,48,7324830,0,1,1,0,91385,Large,-2
188,2019-01-01,Boardman,8,8,2450659,1,2,354478,0,0,0,0,0,0,0,0,0,1,4505,Control,-2
189,2019-01-01,Brookings,13,13,4702521,0,0,0,0,0,0,0,0,0,0,0,0,1,6645,Control,-2
190,2019-01-01,Brownsville,7,7,2092651,0,0,0,0,0,0,0,0,0,0,0,0,1,1720,Control,-2
191,2019-01-01,Cannon Beach,9,9,2858845,0,0,0,0,0,0,1,8,510000,0,0,0,1,1730,Control,-2
192,2019-01-01,Central Point,27,27,6810427,0,0,0,4,16,1914142,8,108,11654419,1,0,0,0,18365,Medium,-2
193,2019-01-01,Clatskanie,2,2,649611,1,2,260744,0,0,0,0,0,0,0,0,0,1,1775,Control,-2
194,2019-01-01,Coburg,11,11,3541099,0,0,0,0,0,0,0,0,0,0,0,0,1,1295,Control,-2
195,2019-01-01,Columbia City,1,1,253204,0,0,0,0,0,0,0,0,0,0,0,0,1,1985,Control,-2
196,2019-01-01,Coos Bay,15,15,3482537,1,2,334070,0,0,0,0,0,0,1,0,0,0,16700,Medium,-2
197,2019-01-01,Cornelius,121,121,30988818,0,0,0,0,0,0,1,8,1191145,0,1,0,0,12225,Large,-2
198,2019-01-01,Corvallis,92,92,22773863,0,0,0,6,24,5354879,6,300,48797508,0,1,0,0,58885,Large,-2
199,2019-01-01,Cottage Grove,44,44,6051497,0,0,0,0,0,0,0,0,0,1,0,0,0,10140,Medium,-2
200,2019-01-01,Creswell,6,6,1530687,0,0,0,0,0,0,0,0,0,0,0,0,1,5510,Control,-2
201,2019-01-01,Dallas,117,117,25178640,1,2,334455,0,0,0,0,0,0,1,0,0,0,16260,Medium,-2
202,2019-01-01,Dayton,2,2,361082,0,0,0,0,0,0,0,0,0,0,0,0,1,2740,Control,-2
203,2019-01-01,Depoe Bay,6,6,1159900,1,2,750000,0,0,0,0,0,0,0,0,0,1,1445,Control,-2
204,2019-01-01,Dundee,16,16,4595857,0,0,0,0,0,0,0,0,0,0,0,0,1,3235,Control,-2
205,2019-01-01,Dunes City,7,7,1476584,0,0,0,0,0,0,0,0,0,0,0,0,1,1345,Control,-2
206,2019-01-01,Durham,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1885,Large,-2
207,2019-01-01,Eagle Point,59,59,16099759,2,4,474242,0,0,0,0,0,0,0,0,0,1,9260,Control,-2
208,2019-01-01,Estacada,183,183,34190640,0,0,0,0,0,0,0,0,0,0,0,0,1,3725,Control,-2
209,2019-01-01,Florence,43,43,9531422,0,0,0,1,4,466738,0,0,0,0,0,0,1,8850,Control,-2
210,2019-01-01,Forest Grove,84,84,23605646,6,12,2728617,0,0,0,0,0,0,0,1,0,0,25180,Large,-2
211,2019-01-01,Gearhart,24,24,6698000,0,0,0,1,4,913161,0,0,0,0,0,0,1,1525,Control,-2
212,2019-01-01,Happy Valley,259,259,85135143,0,0,0,0,0,0,4,166,20114687,0,1,0,0,21700,Large,-2
213,2019-01-01,Harrisburg,4,4,1028996,0,0,0,0,0,0,0,0,0,0,0,0,1,3680,Control,-2
214,2019-01-01,Hermiston,62,62,16390191,0,0,0,3,12,1314181,4,36,3554805,1,0,0,0,18415,Medium,-2
215,2019-01-01,Hood River,40,40,11255171,2,4,818361,0,0,0,0,0,0,0,0,0,1,8305,Control,-2
216,2019-01-01,Independence,41,41,8906686,5,10,1803927,2,8,1547670,3,146,17318440,0,0,0,1,9530,Control,-2
217,2019-01-01,Irrigon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2030,Control,-2
218,2019-01-01,Jacksonville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3015,Control,-2
219,2019-01-01,Junction City,4,4,881849,0,0,0,0,0,0,0,0,0,0,0,0,1,6170,Control,-2
220,2019-01-01,Keizer,36,36,10186081,3,6,852706,0,0,0,0,0,0,0,1,0,0,38580,Large,-2
221,2019-01-01,King City,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4190,Large,-2
222,2019-01-01,La Grande,11,11,2644928,2,4,1500785,0,0,0,0,0,0,1,0,0,0,13290,Medium,-2
223,2019-01-01,Lafayette,2,2,243537,2,4,730747,0,0,0,0,0,0,0,0,0,1,4125,Control,-2
224,2019-01-01,Lake Oswego,65,65,36695519,1,2,728158,0,0,0,1,13,1890421,0,1,0,0,39115,Large,-2
225,2019-01-01,Lakeside,6,6,663304,0,0,0,0,0,0,0,0,0,0,0,0,1,1750,Control,-2
226,2019-01-01,Lebanon,38,38,7464209,0,0,0,0,0,0,8,40,3349464,1,0,0,0,17135,Medium,-2
227,2019-01-01,Lincoln City,54,54,13359020,1,2,337642,0,0,0,1,32,2644680,0,0,0,1,8795,Control,-2
228,2019-01-01,Lowell,14,14,1894485,0,0,0,0,0,0,0,0,0,0,0,0,1,1090,Control,-2
229,2019-01-01,Lyons,2,2,608814,0,0,0,0,0,0,0,0,0,0,0,0,1,1200,Control,-2
230,2019-01-01,McMinnville,157,157,39025573,0,0,0,4,14,1369811,11,119,12344853,0,1,0,0,33930,Large,-2
231,2019-01-01,Medford,303,303,73959773,4,8,1263570,0,0,0,2,24,3164658,0,1,0,0,81465,Large,-2
